cod_cli;razao;endereco;uf;cidade;bairro;cep;telefone;cnpj;insc;canal;hierarquia
1400626;Favorito Supermercado Ltda;Av Marechal Rondon 1738;MT;Pontes E Lacerda;Centro;78250-000;1;9,54E+11;130211214;5534707;L6 BRNC BK CO Agil AS 5
1855551;Sg Comercio de Alimentos Ltda ME;Avenida Dom Aquino 01;MT;Primavera do Leste;Centro Leste;78850-000;1;7,76E+12;133133613;5534707;L6 BRNC BK CO Agil AS 5
1974581;Distribuid de Doces Sao Joao Ltda;Rua Ari Paes Barreto 365;MT;Varzea Grande;Manga;78120-000;1;3,69E+13;132366444;5534710;L6 BRNC BK CO Agil Atc
2106166;N Bevilacqua Junior EIRELI;Av Gabriel Ferreira 357, Qd5 Lt 5a7;MT;Barra do Garcas;Vl Manoel Carmerino;78600-000;1;5,35E+12;132138956;5534713;L6 BRNC BK CO Agil Atj
2589895;Martins & Martins Ltda;R Alberto Baranjak SN, Loja 7;MT;Sinop;Jardim Santa Monica;78557-746;1;3,79E+12;133540103;5534707;L6 BRNC BK CO Agil AS 5
2749639;Pasqualotto & Pasqualotto Ltda;Av Gabriel Muller SN, Qd09 RT 6E;MT;Juina;Modulo 01;78320-000;1;1,05E+13;133639398;5534713;L6 BRNC BK CO Agil Atj
2800371;Nova Era Comercial Alimentos Ltda;Rua Das Acacias 3988;MT;Comodoro;Centro;78310-000;1;2,66E+13;131247158;5534707;L6 BRNC BK CO Agil AS 5
2802281;Coml Novo Estado Generos Alim Ltda;Avenida Prefeito Valdir Masuti 3253;MT;Comodoro;Centro;78310-000;1;3,75E+13;131442376;5534707;L6 BRNC BK CO Agil AS 5
2846104;Mercado Kochemborguer EIRELI EPP;Rua Paulo Pan 611, Qd 43Lt 24;MT;Sinop;Boa Esperanca;78550-001;1;2,97E+12;131862650;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2846192;J C Andrade Souza CIA Ltda EPP;Rua Alves de Oliveira 53;MT;Varzea Grande;Manga;78120-000;1;2,36E+12;131799673;5534707;L6 BRNC BK CO Agil AS 5
2846445;E Dillmann & Cia Ltda EPP;Av Rio Arinos 798, W;MT;Juara;Centro;78575-000;1;4,67E+12;132041111;5534707;L6 BRNC BK CO Agil AS 5
2846624;Gomes da Silva & Gomes Santana Ltda;Rua Dom Jose Selva 176;MT;Alto Garcas;Centro;78770-000;1;5,30E+12;132116324;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2846813;Longen & Longen Ltda ME;Av Principal SN;MT;Cotriguacu;Agronila dos Pioneilo;78330-000;1;4,99E+12;132077850;5534706;L6 BRNC BK CO Agil AS 3 4 Ck
2847223;M A V Miyamoto EPP;Av Brasil 02;MT;Poxoreu;Parque Rodoviario;78800-000;1;1,33E+12;131699377;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2847651;Restaurante & Lanchonete 120 Ltda;Av Rod Br 120 Cuiaba Caceres SN;MT;Caceres;Rodovia;78200-000;1;1,30E+12;130273201;5534716;L6 BRNC BK CO Agil Trd e Dms
2847928;Geller Auto Posto;Av Mato Grosso 999;MT;Lucas do Rio Verde;Cidade Nova;78455-000;1;3,53E+12;131940139;5534708;L6 BRNC BK CO Agil Trd e Cnv
2848015;I F de Carvalho Oliveira;Rua 7 de Setembro SN;MT;Colniza;Centro;78335-000;1;4,29E+12;131998048;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2848033;Antonio Candido;Rua do Cedro SN;MT;Caceres;Caramujo;78200-000;1;5,41E+12;132128136;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2848420;Edmilson Leite de Moraes ME;Av Brasil 779;MT;Paranatinga;Uniao;78870-000;1;2,35E+12;131797735;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2848487;Bege Com Prod Supermercado;Av Brasil 489;MT;Vila Rica;Centro;78645-000;1;2,36E+11;131590170;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2848488;Geovane Stival Lopes EIRELI;Rua 01 197;MT;Vila Rica;Setor Sul;78645-000;1;4,57E+12;132030713;5534707;L6 BRNC BK CO Agil AS 5
2848520;Aguiar Pontes & Pont Sup Serve Mais;Av Centro Oeste 99, Sala;MT;Confresa;Centro;78652-000;1;3,79E+12;131941208;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2848912;J Vieira Nobre;Av Londrina SN;MT;Juina;Nobres;78320-000;1;1,15E+11;131549073;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2850066;Supermercado Santa Rita Ltda;Av das Araras SN;MT;Santa Rita do Trivelato;Centro;78453-000;1;5,68E+12;132237377;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2850317;Supermercado Real Ltda;Av Curimba 1160;MT;Sapezal;Centro;78365-000;1;5,96E+12;132362570;5534707;L6 BRNC BK CO Agil AS 5
2850419;Supermercado Romancini Ltda;Avenida Mato Grosso 1696;MT;Lucas do Rio Verde;Alvorada;78455-000;1;4,13E+12;131976451;5534707;L6 BRNC BK CO Agil AS 5
2851013;Lanch Rest & Borrach Pensao Seca;Av Rod Br 364 SN, Km 300;MT;Jaciara;Rod Br 364;78820-000;1;2,47E+13;130556262;5534716;L6 BRNC BK CO Agil Trd e Dms
2851522;O M de Souza ME;Rua Euclides da Cunha SN, Qdr 15;MT;Poxoreu;Santa Luzia;78800-000;1;5,93E+12;132372096;5534716;L6 BRNC BK CO Agil Trd e Dms
2851644;Tabaldi & Tabaldi Ltda EPP;Av Loderites da Rosa Correa 282;MT;Juina;Modulo 3;78320-000;1;5,16E+12;132102501;5534707;L6 BRNC BK CO Agil AS 5
2852449;Amorim & Amorim Ltda;Av Dom Orlando Chave 06, Qd4 AnexoA;MT;Varzea Grande;Cohab Dom Bosco;78120-000;1;5,99E+12;132430436;5534716;L6 BRNC BK CO Agil Trd e Dms
2853082;M J Lopes Superm ME;Rua Presidente Getulio Vargas 304;MT;Sao Jose dos Quatro Marcos;Zeferino I;78285-000;1;4,99E+12;132079585;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2853482;Neuza Terezinha Nascimento ME;Rua Terezinha 755;MT;Campo Verde;Centro;78840-000;1;5,87E+12;132373777;5534716;L6 BRNC BK CO Agil Trd e Dms
2853483;Adolfo Fidesk ME;Av Sen Attilio Fontana SN;MT;Campo Verde;Jd Campo Verde;78840-000;1;3,99E+12;131960806;5534716;L6 BRNC BK CO Agil Trd e Dms
2853897;Severino da Silva & Cia Ltda;Rua 22 1131;MT;Tangara da Serra;Vila Sta Terezinha;78300-000;1;5,94E+12;132475553;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2853907;L Rodrigues Cardoso ME;R Julio Martinez Benevide 621, Sl 1;MT;Tangara Da Serra;Centro;78300-000;1;2,50E+13;130681270;5534716;L6 BRNC BK CO Agil Trd e Dms
2853918;Lideranca Supermercado Ltda ME;Av Mato Grosso SN, Predio;MT;Apiacas;Centro;78595-000;1;3,13E+11;132248697;5534706;L6 BRNC BK CO Agil AS 3 4 Ck
2853937;Mercado Cotriguacu Ltda;Av Robson Silva 358;MT;Alta Floresta;Cidade Alta;78580-000;1;4,49E+12;132025116;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2854061;J C de Oliveira;Rua das Cervejeiras SN;MT;Carlinda;Centro;78587-000;1;7,04E+13;131462148;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2854062;Dilimas Com Gen Alimenticio Ltda ME;Av Ayrton Senna SN;MT;Novo Mundo;Centro;78528-000;1;3,69E+13;131318640;5534716;L6 BRNC BK CO Agil Trd e Dms
2854068;Antonio Dalmir Pereira Pais ME;Rua Bahia 141;MT;Terra Nova do Norte;Centro;78505-000;1;1,06E+11;131549839;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2854085;Santos Fenali Conti ME;Rua Campo Grande 1112;MT;Brasnorte;Nosso Lar;78350-000;1;5,96E+12;132452405;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2854087;Auto Posto Brasnorte Ltda;Av General Osorio SN;MT;Brasnorte;Centro;78350-000;1;4,66E+12;132043394;5534708;L6 BRNC BK CO Agil Trd e Cnv
2854262;Joao T Schmidt Panificadora ME;Rua Orlando Jose Da Si 278, Sala 02;MT;Juruena;Centro;78340-000;1;5,81E+12;132318725;5534706;L6 BRNC BK CO Agil AS 3 4 Ck
2854263;Maria de L T Alves ME;R 1 453, Qd8 Lt13;MT;Sinop;Residencial Montreal Park;78558-141;1;5,52E+12;132162598;5534716;L6 BRNC BK CO Agil Trd e Dms
2854304;Supermercado Ferreira Ltda;Rua Jpi SN;MT;Aripuana;Jardim Planalto;78325-000;1;2,45E+12;132470144;5534706;L6 BRNC BK CO Agil AS 3 4 Ck
2854546;Cafe no Ponto Doceria Ltda ME;Av Natalino Joao Brescansin 1979;MT;Sorriso;Centro;78890-000;1;6,16E+12;132470020;5534716;L6 BRNC BK CO Agil Trd e Dms
2854705;El Elion Com De Combustiveis Ltda;Av Rubens de Mendonca 2555;MT;Cuiaba;Bosque da Saude;78050-000;1;5,70E+12;132503670;5534708;L6 BRNC BK CO Agil Trd e Cnv
2855641;Jacob Pisaia Junior Cia Ltda;Av Amos Bernardino Zan 463, Letra N;MT;Nova Maringa;Centro;78445-000;1;5,53E+12;132159112;5534706;L6 BRNC BK CO Agil AS 3 4 Ck
2855790;Maravilha Com de Alimentos Ltda ME;Av Maravilha 563;MT;Feliz Natal;Centro;78885-000;1;4,74E+12;132050641;5534706;L6 BRNC BK CO Agil AS 3 4 Ck
2856419;Vanderlei dos Santos Vicente ME;Av Gilio Rezieri 631;MT;Castanheira;Centro;78345-000;1;6,19E+12;132584522;5534707;L6 BRNC BK CO Agil AS 5
2856655;Sisenando Guedes Silva;Rua Alcides Lazaretti 65;MT;Primavera do Leste;Sao Cristovao;78850-000;1;5,91E+12;132600994;5534706;L6 BRNC BK CO Agil AS 3 4 Ck
2856941;F C Locks Eireli;R Missionario Paulo Leivas Macal 98;MT;Aripuana;Parque Industriario;78325-000;1;4,74E+12;132053640;5534707;L6 BRNC BK CO Agil AS 5
2857815;Joao Lopes de Oliveira;Rua Joao Calixto do Santo SN;MT;Nortelandia;Bandeirantes;78430-000;1;5,91E+12;132312026;5534716;L6 BRNC BK CO Agil Trd e Dms
2857817;Lucilia De Lourdes Oliveira Alves E;Av Getulio Lino De Souza 800;MT;Nortelandia;Centro;78430-000;1;3,69E+13;131355449;5534716;L6 BRNC BK CO Agil Trd e Dms
2858077;Cora Mercado Ltda;Rua P 09, Quadra 15;MT;Claudia;Habitar Brasil;78540-000;1;5,87E+12;132305151;5534707;L6 BRNC BK CO Agil AS 5
2858208;H 7 Supermercado Ltda EPP;Rua das Laranjeiras 866;MT;Guaranta do Norte;Cristo Rei;78520-000;1;4,82E+12;132059053;5534706;L6 BRNC BK CO Agil AS 3 4 Ck
2858338;Roberto Braga & Casado Ltda ME;Rua Manaura 477;MT;Cuiaba;Santo Antonio do Pedregal;78060-450;1;6,96E+12;132749904;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2860237;Francisca Duarte B Ramos Minimerc;Av Mal Rondon 1178;MT;Araputanga;Centro;78260-000;1;7,08E+12;132806851;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2860482;Goncalves Oliveira & Cia Ltda;Av Brasil 2141;MT;Paranatinga;Centro;78870-000;1;6,32E+12;132652331;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2860743;Alvaro Jose Schum;Av Amos B Zancket SN;MT;Nova Maringa;Centro;78445-000;1;5,93E+12;132316676;5534716;L6 BRNC BK CO Agil Trd e Dms
2861019;L Oliveira da Silva & Cia Ltda ME;Av Mato Grosso 384;MT;Alta Floresta;Setor Idustrial;78580-000;1;5,31E+12;132909227;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2861073;A Aparecido de Lima & Cia Ltda;Rua J P 1 733, Lote 15 Qu;MT;Aripuana;Jardim Planalto;78325-000;1;6,15E+12;132565552;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2861856;Metropolitano Com Comb & Deri Ltda;Av Fernando Correa Costa 2350;MT;Cuiaba;Jardim Petropolis;78070-000;1;7,09E+12;132878399;5534708;L6 BRNC BK CO Agil Trd e Cnv
2862081;Supermercado Quatro Amigos Ltda;Rua do Cara 770;MT;Sapezal;Centro;78365-000;1;7,27E+12;132950529;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2862083;Pim Pao Alimentos Ltda;Av Natalino Joao Brescasin 1783;MT;Sorriso;Centro;78890-000;1;6,16E+12;132476339;5534716;L6 BRNC BK CO Agil Trd e Dms
2862087;Bello Pane Panificadora Ltda;Rua Mato Grosso 2668;MT;Sorriso;Centro;78890-000;1;2,58E+12;131818376;5534716;L6 BRNC BK CO Agil Trd e Dms
2862091;S R Parreira ME;Av Marechal Rondon 1049;MT;Pontes E Lacerda;Centro;78250-000;1;4,08E+12;131973070;5534716;L6 BRNC BK CO Agil Trd e Dms
2862102;Superm Super Ponto Bom Retiro Ltda;Av Carlos Hugueney 241;MT;Alto Araguaia;Centro;78780-000;1;7,27E+12;132947757;5534707;L6 BRNC BK CO Agil AS 5
2862122;Supermercado Birigui Ltda;Rua Santa Catarina 1118;MT;Sao Jose do Rio Claro;Centro;78435-000;1;5,06E+12;132089017;5534706;L6 BRNC BK CO Agil AS 3 4 Ck
2863490;V A Com Prods Alimenticios Ltda ME;R Benedito Camargo 534;MT;Cuiaba;Jd Leblon;78005-000;1;5,90E+12;132489783;5534707;L6 BRNC BK CO Agil AS 5
2865058;R P Otenio Mercado ME;Av 23 de Maio 535;MT;Araputanga;Centro;78260-000;1;7,23E+12;132948311;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2865372;Paulo Henrique dos Santos ME;Rua das Carmelias 554;MT;Caceres;Vila Nova;78200-000;1;6,34E+12;132625636;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2866425;L V Schiefelbein & Cia Ltda;R Passo Fundo 268, S;MT;Lucas do Rio Verde;Pioneiro;78455-000;1;5,06E+12;132089866;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2867879;Auto Posto Favett;Avenida Maua 230S;MT;Tangara da Serra;Vila Alta;78300-000;1;5,67E+12;132414775;5534708;L6 BRNC BK CO Agil Trd e Cnv
2868451;J Martins do Nascimento;Av Minas Gerais 1350NW;MT;Campo Novo do Parecis;Jardim das Palmeiras;78360-000;1;7,53E+12;133074749;5534707;L6 BRNC BK CO Agil AS 5
2869836;Isolde Dalmolin EPP;Rua Castanheira SN, Quadra A;MT;Diamantino;Novo Diamantino;78400-000;1;7,09E+12;132852039;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2870008;A V Flores;Rua Pedro Pedrossian SN;MT;Nova Olimpia;Santa Rosa;78370-000;1;2,76E+12;131839470;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2870158;Distribuidora Alimento S R Ltda EPP;Av Universitaria 861, W;MT;Lucas do Rio Verde;Parque das Emas;78455-000;1;6,33E+12;132627221;5534707;L6 BRNC BK CO Agil AS 5
2870617;A A Nervis ME;Rua Parana 599, Ne;MT;Campo Novo do Parecis;Centro;78360-000;1;76958000166;131537270;5534710;L6 BRNC BK CO Agil Atc
2871447;Alcimar Comercio Embalagens Ltda;Rua Paranatinga 193;MT;Primavera do Leste;Centro;78850-000;1;3,98E+12;131959387;5534716;L6 BRNC BK CO Agil Trd e Dms
2872209;Ailton Ferreira da Silva ME;Rua Goiania 2159;MT;Rondonopolis;Parque Residencial Buriti;78715-020;1;93866000194;131842803;5534716;L6 BRNC BK CO Agil Trd e Dms
2872460;Alfa Supermercado Ltda EPP;R Dezenove de Setembro 1589, SW;MT;Sapezal;Jardim Ype;78365-000;1;7,82E+12;133148556;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2873038;P E de Araujo ME;Av Jaime Campos 1055;MT;Castanheira;Centro;78345-000;1;7,95E+12;133183092;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2873062;Corrente Luz & Oliveira Ltda ME;Rua 31 Dezembro 236, Term Rodov;MT;Rondonopolis;Jardim Belo Horizonte;78705-600;1;4,66E+12;132039958;5534708;L6 BRNC BK CO Agil Trd e Cnv
2873066;Everly Kelly Viola;Av 7 de Setembro 377;MT;Alto Garcas;Centro;78770-000;1;7,90E+12;133171590;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2873069;M E Agostinho de Barros ME;Rua Marilia 2782;MT;Juara;Parque Alvorada;78575-000;1;7,36E+12;133021904;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2873070;Leonice Rodrigues Da Costa ME;Av Cel Cajang 1890, Esq 13 Mai;MT;Alto Garcas;Centro;78770-000;1;7,54E+12;133078426;5534716;L6 BRNC BK CO Agil Trd e Dms
2873402;V Nunes Ribeiro;Rua Dep Heronides Araujo SN;MT;Torixoreu;Centro;78695-000;1;7,77E+12;133134938;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2873440;Sirlene Martins & Cia Ltda ME;Av Das Orquideas 1540;MT;Sorriso;Dist Boa Esperanca;78896-000;1;7,64E+12;133823652;5534706;L6 BRNC BK CO Agil AS 3 4 Ck
2873654;Valdemar Manoel dos Santos;Rua 06 1045S;MT;Tangara da Serra;Jardim Shangrila;78300-000;1;3,70E+13;131308564;5534706;L6 BRNC BK CO Agil AS 3 4 Ck
2873741;P B Ribeiro & Cia Ltda;Av General Mello 3480;MT;Cuiaba;Jardim California;78070-300;1;6,33E+12;132621410;5534716;L6 BRNC BK CO Agil Trd e Dms
2875892;Mercearia A Serrano Ltda ME;Av Los Angeles 314;MT;Sorriso;Jardim California;78890-000;1;3,33E+11;131588222;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2876031;Santogo Alimentos Ltda;Av Marechal Rondon 3149;MT;Pontes e Lacerda;Jardim Bela Vista II;78250-000;1;9,49E+12;133538907;5534707;L6 BRNC BK CO Agil AS 5
2876553;Ogenes Jose Da Silva;Av Pedro Bom SN, Km 340;MT;Brasnorte;Agua Da Prata;78350-000;1;5,77E+12;132243660;5534716;L6 BRNC BK CO Agil Trd e Dms
2876822;L G da Silva Souza Comercio ME;Rua Francisco J Mendonca 918N;MT;Tangara da Serra;Vila Horizonte;78300-000;1;8,88E+12;133395545;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2876902;Sao Gabriel Com Gen Alim EIRELI;Av I 8, Quadra14;MT;Cuiaba;Residencial Altos Do Parque I;78096-392;1;8,84E+12;133385191;5534716;L6 BRNC BK CO Agil Trd e Dms
2877930;A Martins Da Silva ME;Rua Dona Maria Do Ca SN, Qd 13 Lt11;MT;Varzea Grande;Jardim Maringa;78120-570;1;9,25E+12;133480623;5534716;L6 BRNC BK CO Agil Trd e Dms
2878190;Prestes Pinto & Cia Ltda ME;Av Brasil 878;MT;Tapurah;Centro;78573-000;1;7,41E+13;131511564;5534706;L6 BRNC BK CO Agil AS 3 4 Ck
2878191;Leblon Com & Transporte de Comb;Av Miguel Sutil 2690;MT;Cuiaba;Jardim Leblon;78060-000;1;7,04E+12;133160947;5534708;L6 BRNC BK CO Agil Trd e Cnv
2878270;Supermercado Serragem Ltda ME;R Rachid Jaudy SN, Km 118;MT;Nobres;Serragem;78460-000;1;8,86E+12;133391850;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2878297;M A Pereira Comercio;Rua Maria Isabel Jesus 184E;MT;Nova Olimpia;Santa Rosa;78370-000;1;9,02E+12;133433153;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2878303;Maria Aparecida Sossai ME;Rua Sebastiao Barto 135S;MT;Tangara da Serra;Centro;78300-000;1;9,16E+12;133462560;5534716;L6 BRNC BK CO Agil Trd e Dms
2878794;Mercado & Dist Bebida Amazonas Ltda;Rua Cuiaba SN;MT;Pocone;Areao;78175-000;1;9,20E+12;133469220;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2878870;Auto Posto Canela Ltda;Av Couto Magalhaes 2918, Lot Centro;MT;Varzea Grande;Centro Norte;78110-400;1;8,60E+12;133422372;5534708;L6 BRNC BK CO Agil Trd e Cnv
2878965;Miracy Teles De Amorim Franca ME;R Santana 704;MT;Chapada Dos Guimaraes;Sao Sebastiao;78195-000;1;3,95E+12;131971980;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
